id,title,context,question,answers
5727dd9c4b864d1900163f802,TIC,"Título: Debe ser el mismo que fue aprobado en el proyecto. Va en una sola página, con numeración con número en arábigos(no se muestra).",¿Qué requisitos específicos debe cumplir el título en el informe de trabajo de integración curricular o titulación?,"{'answer_start': [7], 'text': ['Debe ser el mismo que fue aprobado en el proyecto. Va en una sola página, con numeración con número en arábigos(no se muestra)']}"
5727dd9c4b864d1900163f889,TIC,Recomendaciones: Están dirigidas a proporcionar sugerencias a la luz de los resultados. Medidas que deberían tomarse a partir de las conclusiones obtenidas.,¿Cuáles son las características de las recomendaciones en el informe del trabajo de integración curricular o titulación?,"{'answer_start': [17], 'text': ['Están dirigidas a proporcionar sugerencias a la luz de los resultados. Medidas que deberían tomarse a partir de las conclusiones obtenidas']}"
5727dd9c4b864d1900163f518,etica2,"Reflexiones y conclusiones:
Resume los puntos clave discutidos en el ensayo.",¿Cuál es la tarea principal que se debe realizar al llegar a la sección de Reflexiones y conclusiones?,"{'answer_start': [28], 'text': ['Resume los puntos clave discutidos en el ensayo.']}"
5727dd9c4b864d1900163f701,etica 3,"Recuerda que el mapa mental es una herramienta visual para organizar ideas y conceptos. No hay una estructura fija, por lo que puedes adaptarla a tu propio estilo y preferencias.",¿Cuál es la organización recomendada para un mapa mental de acuerdo con las indicaciones dadas?,"{'answer_start': [88], 'text': ['No hay una estructura fija']}"
5727dd9c4b864d1900163f197,etica1,"Detalles y conexiones: En cada rama y ramificación, agrega detalles adicionales, palabras clave o ideas relacionadas. Puedes utilizar colores, íconos o líneas para resaltar conexiones y relaciones entre diferentes elementos del mapa mental.",¿Qué se aconseja agregar para mejorar la comprensión de los temas en el mapa mental?,"{'answer_start': [52], 'text': ['agrega detalles adicionales']}"
5727dd9c4b864d1900163f40,etica1,"Expansión y personalización: Si lo deseas, puedes expandir aún más el mapa mental agregando subramas o detalles adicionales a medida que exploras cada tema en más profundidad. Personaliza el mapa mental de acuerdo con tus propias experiencias y necesidades como estudiante universitario.",¿Qué se recomienda hacer si se desea explorar cada tema en más profundidad en el mapa mental?,"{'answer_start': [82], 'text': ['agregando subramas o detalles adicionales a medida que exploras cada tema en más profundidad']}"
5727dd9c4b864d1900163f1106,hvpin1,al finalizar enviarla al EVA-UNL hasta las 23:59 pm del día Lunes 13 de Noviembre de 2023.,¿Cuál es el último momento del día Lunes 13 de Noviembre de 2023 para completar la entrega de la tarea?,"{'answer_start': [33], 'text': ['Hasta las 23:59 pm del día Lunes 13 de Noviembre de 2023']}"
5727dd9c4b864d1900163f562,etica2,Reflexiona sobre las posibles consecuencias negativas de la falta de ética y moral en el trabajo de los profesionales de TI.,¿Qué aspecto se analiza al reflexionar sobre el desempeño de los profesionales de TI?,"{'answer_start': [11], 'text': ['sobre las posibles consecuencias negativas de la falta de ética y moral en el trabajo de los profesionales de TI.']}"
5727dd9c4b864d1900163f629,etica2,"Ramas principales: A partir del centro, traza ramas principales que representen las áreas clave relacionadas con la experiencia de los estudiantes universitarios. Algunas ideas para las ramas principales:",¿Qué ramas principales se deben trazar desde el centro del mapa mental para representar aspectos significativos?,"{'answer_start': [46], 'text': ['ramas principales que representen áreas clave relacionadas']}"
5727dd9c4b864d1900163f294,etica2,"A.A.Ensayo Cuestionamientos de la Ética y Moral profesional.
Introducción:
Presenta el tema de los cuestionamientos éticos y morales en el ámbito profesional, con un enfoque específico en el campo de TI.",¿Qué tema se presenta como central en la introducción del ensayo?,"{'answer_start': [11], 'text': ['Cuestionamientos éticos y morales en el ámbito profesional']}"
